feature_id	YEAST-CENPK-LOWGROWTH
MET:FEATURE:positive:135.0482:24.96	667159.26585385
MET:FEATURE:positive:147.0642:24.96	1330702.34018301
MET:FEATURE:positive:147.0666:24.96	916409.279443254
MET:FEATURE:positive:172.0602:24.71	532367.473211742
MET:FEATURE:positive:198.0970:23.77	1812405.08080414
MET:FEATURE:positive:206.1024:25.21	386446.257537047
MET:FEATURE:positive:298.1141:24.71	1511646.60826068
MET:FEATURE:positive:366.0968:25.21	201532.539569742
MET:FEATURE:positive:116.0344:25.21	346103.059627443
MET:FEATURE:positive:147.0884:24.96	1275746.67301778
MET:FEATURE:positive:159.0763:25.71	464392.491004863
MET:FEATURE:positive:164.0814:25.46	1641635.53238805
MET:FEATURE:positive:165.6157:25.21	539596.373255511
MET:FEATURE:positive:166.0531:24.96	699021.169470461
MET:FEATURE:positive:249.1080:24.96	423815.730325203
MET:FEATURE:positive:256.0813:24.71	83987751.7673573
MET:FEATURE:positive:268.1422:25.46	1572706.71686081
MET:FEATURE:positive:277.1025:25.21	1477971.44962874
MET:FEATURE:positive:310.0844:24.96	3964480.78132702
MET:FEATURE:positive:123.0645:26.46	431348.451805924
MET:FEATURE:positive:172.0798:25.21	1418012.63504733
MET:FEATURE:positive:245.0770:24.49	3765346.6005405
MET:FEATURE:positive:288.1886:24.71	1264917.1010086
MET:FEATURE:positive:307.0822:24.96	2000283.70907953
MET:FEATURE:positive:427.0942:25.46	1093139.62617938
MET:FEATURE:positive:121.0691:25.96	234458.663693793
MET:FEATURE:positive:130.0398:25.46	784069.71111415
MET:FEATURE:positive:132.0541:25.46	642784.262677102
MET:FEATURE:positive:149.0803:25.21	1256000.79224398
MET:FEATURE:positive:152.0564:24.71	8069055.8363674
MET:FEATURE:positive:176.0373:25.46	353568.984399146
MET:FEATURE:positive:257.0846:24.71	9809306.63764168
MET:FEATURE:positive:119.0606:25.96	216839.827404807
MET:FEATURE:positive:224.1282:25.71	844652.58312455
MET:FEATURE:positive:286.0912:24.71	763105.29454995
MET:FEATURE:positive:335.0634:23.28	41745374.6417991
MET:FEATURE:positive:338.1017:24.96	1953815.47749781
MET:FEATURE:positive:122.0272:25.71	475816.044568887
MET:FEATURE:positive:171.0840:28.90	1729286.5509696
MET:FEATURE:positive:117.0742:25.46	1134386.49064477
MET:FEATURE:positive:117.0742:25.71	493652.947499567
MET:FEATURE:positive:216.0630:22.85	35241833.421146
MET:FEATURE:positive:162.0578:26.97	247765.015970713
MET:FEATURE:positive:185.0325:26.46	543865.814881927
MET:FEATURE:positive:219.0976:25.71	1858016.68302927
MET:FEATURE:positive:348.0698:23.28	88691342.4572103
MET:FEATURE:positive:170.0459:26.97	520916.518201179
MET:FEATURE:positive:251.1134:27.47	301557.00270398
MET:FEATURE:positive:280.0913:25.21	2085606.6396732
MET:FEATURE:positive:149.0577:25.71	1704752.82509174
MET:FEATURE:positive:123.0463:27.22	622016.494037166
MET:FEATURE:positive:148.0480:25.96	2682641.89222644
MET:FEATURE:positive:251.0694:26.21	5632038.62024464
MET:FEATURE:positive:268.0649:25.71	2017748.62526573
MET:FEATURE:positive:381.0795:27.90	335370.047899358
MET:FEATURE:positive:164.0809:27.68	1600805.84838916
MET:FEATURE:positive:169.0585:26.46	1131681.01244111
MET:FEATURE:positive:245.1497:27.47	197867.560354513
MET:FEATURE:positive:255.0614:27.68	1156322.33848592
MET:FEATURE:positive:150.0590:28.15	5187611.1241235
MET:FEATURE:positive:233.7865:25.96	3156549.57569241
MET:FEATURE:positive:277.1388:27.22	4602861.21667215
MET:FEATURE:positive:118.0778:28.90	162857.852299019
MET:FEATURE:positive:175.1077:26.71	1571719.43712171
MET:FEATURE:positive:272.0775:28.40	1274324.38326818
MET:FEATURE:positive:294.1542:27.90	750817.827023788
MET:FEATURE:positive:296.0655:25.71	1961347.52873666
MET:FEATURE:positive:135.1379:28.40	419658.325976207
MET:FEATURE:positive:163.0731:27.68	794619.061412772
MET:FEATURE:positive:171.0646:27.68	8584267.51438259
MET:FEATURE:positive:174.8864:28.40	585395.327083846
MET:FEATURE:positive:245.0959:28.65	573352.080518104
MET:FEATURE:positive:268.0737:25.71	6296507.02470751
MET:FEATURE:positive:268.0798:25.71	5909412.13180538
MET:FEATURE:positive:365.1058:28.15	1382759.02145555
MET:FEATURE:positive:125.1256:28.65	118813.209012703
MET:FEATURE:positive:120.0906:28.90	177629.639191278
MET:FEATURE:positive:255.1195:27.22	3465002.25381907
MET:FEATURE:positive:276.1185:24.96	7177239.90156465
MET:FEATURE:positive:326.1454:28.15	575709.162994803
MET:FEATURE:positive:148.0728:25.46	4439178.95404457
MET:FEATURE:positive:225.0870:27.90	606578.356123094
MET:FEATURE:positive:268.1275:25.71	4878253.64989796
MET:FEATURE:positive:330.0727:26.21	5335570.50998746
MET:FEATURE:positive:112.0508:26.21	654239.780139989
MET:FEATURE:positive:346.0469:26.46	5753401.27289559
MET:FEATURE:positive:141.0852:29.75	73905.0503366306
MET:FEATURE:positive:150.0646:25.71	3848975.38624615
MET:FEATURE:positive:176.1028:25.71	2365498.23401867
MET:FEATURE:positive:217.1182:24.96	1849268.53992518
MET:FEATURE:positive:282.1195:26.71	7993543.78433015
MET:FEATURE:positive:355.1972:26.97	1668017.6717196
MET:FEATURE:positive:122.1258:28.15	2527232.5206041
MET:FEATURE:positive:126.1490:29.15	895080.991952353
MET:FEATURE:positive:128.1404:28.90	1803484.23329759
MET:FEATURE:positive:144.1383:28.40	915641.801855359
