reported_result_id	study_accession	source_sample_id	showcase_sample_id	metabolite_name	reported_abundance	source_identification_label	database_identifier	chemical_formula	smiles	inchi	pubchem_id	kegg_id	hmdb_id	method	is_internal_standard	result_layer	mapping_to_reprocessed_feature	annotation_source
MTBLS2015:ROW:0145	MTBLS2015	102.100.100/50913	ECOLI-B36-RPMI	Oxoglutaric acid	701372	Oxoglutaric acid	CHEBI:30915	C5H6O5	OC(=O)CCC(=O)C(O)=O	InChI=1S/C5H6O5/c6-3(5(9)10)1-2-4(7)8/h1-2H2,(H,7,8)(H,9,10)					False	publisher-reported processed metabolite result	not available: source MAF omits m/z and retention time	MetaboLights MTBLS2015 MAF: m_MTBLS2015_LC-MS_negative_hilic_metabolite_profiling_v2_maf.tsv
MTBLS2015:ROW:0146	MTBLS2015	102.100.100/50913	ECOLI-B36-RPMI	Uridine diphosphate glucose	1286266	Uridine diphosphate glucose	CHEBI:18066	C15H24N2O17P2	OC[C@H]1OC(OP(O)(=O)OP(O)(=O)OC[C@H]2O[C@H]([C@H](O)[C@@H]2O)n2ccc(=O)[nH]c2=O)[C@H](O)[C@@H](O)[C@@H]1O	InChI=1S/C15H24N2O17P2/c18-3-5-8(20)10(22)12(24)14(32-5)33-36(28,29)34-35(26,27)30-4-6-9(21)11(23)13(31-6)17-2-1-7(19)16-15(17)25/h1-2,5-6,8-14,18,20-24H,3-4H2,(H,26,27)(H,28,29)(H,16,19,25)/t5-,6-,8-,9-,10+,11-,12-,13-,14?/m1/s1					False	publisher-reported processed metabolite result	not available: source MAF omits m/z and retention time	MetaboLights MTBLS2015 MAF: m_MTBLS2015_LC-MS_negative_hilic_metabolite_profiling_v2_maf.tsv
MTBLS2015:ROW:0147	MTBLS2015	102.100.100/50913	ECOLI-B36-RPMI	Citraconic acid	18293	Citraconic acid	CHEBI:17626	C5H6O4	C\C(=C\C(O)=O)C(O)=O	InChI=1S/C5H6O4/c1-3(5(8)9)2-4(6)7/h2H,1H3,(H,6,7)(H,8,9)/b3-2-					False	publisher-reported processed metabolite result	not available: source MAF omits m/z and retention time	MetaboLights MTBLS2015 MAF: m_MTBLS2015_LC-MS_negative_hilic_metabolite_profiling_v2_maf.tsv
MTBLS2015:ROW:0148	MTBLS2015	102.100.100/50913	ECOLI-B36-RPMI	Uridine diphosphategalactose	634559	Uridine diphosphategalactose	CHEBI:18307	C15H24N2O17P2	OC[C@H]1OC(OP(O)(=O)OP(O)(=O)OC[C@H]2O[C@H]([C@H](O)[C@@H]2O)n2ccc(=O)[nH]c2=O)[C@H](O)[C@@H](O)[C@H]1O	InChI=1S/C15H24N2O17P2/c18-3-5-8(20)10(22)12(24)14(32-5)33-36(28,29)34-35(26,27)30-4-6-9(21)11(23)13(31-6)17-2-1-7(19)16-15(17)25/h1-2,5-6,8-14,18,20-24H,3-4H2,(H,26,27)(H,28,29)(H,16,19,25)/t5-,6-,8+,9-,10+,11-,12-,13-,14?/m1/s1					False	publisher-reported processed metabolite result	not available: source MAF omits m/z and retention time	MetaboLights MTBLS2015 MAF: m_MTBLS2015_LC-MS_negative_hilic_metabolite_profiling_v2_maf.tsv
MTBLS2015:ROW:0149	MTBLS2015	102.100.100/50913	ECOLI-B36-RPMI	Beta-Alanine	11942	beta-Alanine	CHEBI:16958	C3H7NO2	NCCC(O)=O	InChI=1S/C3H7NO2/c4-2-1-3(5)6/h1-2,4H2,(H,5,6)					False	publisher-reported processed metabolite result	not available: source MAF omits m/z and retention time	MetaboLights MTBLS2015 MAF: m_MTBLS2015_LC-MS_negative_hilic_metabolite_profiling_v2_maf.tsv
MTBLS2015:ROW:0150	MTBLS2015	102.100.100/50913	ECOLI-B36-RPMI	L-Aspartic acid	298929	L-Aspartic acid	CHEBI:17053	C4H7NO4	N[C@@H](CC(O)=O)C(O)=O	InChI=1S/C4H7NO4/c5-2(4(8)9)1-3(6)7/h2H,1,5H2,(H,6,7)(H,8,9)/t2-/m0/s1					False	publisher-reported processed metabolite result	not available: source MAF omits m/z and retention time	MetaboLights MTBLS2015 MAF: m_MTBLS2015_LC-MS_negative_hilic_metabolite_profiling_v2_maf.tsv
MTBLS2015:ROW:0151	MTBLS2015	102.100.100/50913	ECOLI-B36-RPMI	Dihydroxyacetone phosphate	33956	Dihydroxyacetone phosphate	CHEBI:16108	C3H7O6P	OCC(=O)COP(O)(O)=O	InChI=1S/C3H7O6P/c4-1-3(5)2-9-10(6,7)8/h4H,1-2H2,(H2,6,7,8)					False	publisher-reported processed metabolite result	not available: source MAF omits m/z and retention time	MetaboLights MTBLS2015 MAF: m_MTBLS2015_LC-MS_negative_hilic_metabolite_profiling_v2_maf.tsv
MTBLS2015:ROW:0152	MTBLS2015	102.100.100/50913	ECOLI-B36-RPMI	FAD	121300	FAD	CHEBI:16238	C27H33N9O15P2	Cc1cc2nc3c(nc(=O)[nH]c3=O)n(C[C@H](O)[C@H](O)[C@H](O)COP(O)(=O)OP(O)(=O)OC[C@H]3O[C@H]([C@H](O)[C@@H]3O)n3cnc4c(N)ncnc34)c2cc1C	InChI=1S/C27H33N9O15P2/c1-10-3-12-13(4-11(10)2)35(24-18(32-12)25(42)34-27(43)33-24)5-14(37)19(39)15(38)6-48-52(44,45)51-53(46,47)49-7-16-20(40)21(41)26(50-16)36-9-31-17-22(28)29-8-30-23(17)36/h3-4,8-9,14-16,19-21,26,37-41H,5-7H2,1-2H3,(H,44,45)(H,46,47)(H2,28,29,30)(H,34,42,43)/t14-,15+,16+,19-,20+,21+,26+/m0/s1					False	publisher-reported processed metabolite result	not available: source MAF omits m/z and retention time	MetaboLights MTBLS2015 MAF: m_MTBLS2015_LC-MS_negative_hilic_metabolite_profiling_v2_maf.tsv
MTBLS2015:ROW:0153	MTBLS2015	102.100.100/50913	ECOLI-B36-RPMI	D-Aspartic acid	149640	D-Aspartic acid	CHEBI:17364	C4H7NO4	N[C@H](CC(O)=O)C(O)=O	InChI=1S/C4H7NO4/c5-2(4(8)9)1-3(6)7/h2H,1,5H2,(H,6,7)(H,8,9)/t2-/m1/s1					False	publisher-reported processed metabolite result	not available: source MAF omits m/z and retention time	MetaboLights MTBLS2015 MAF: m_MTBLS2015_LC-MS_negative_hilic_metabolite_profiling_v2_maf.tsv
MTBLS2015:ROW:0154	MTBLS2015	102.100.100/50913	ECOLI-B36-RPMI	N-Acetylglutamic acid	6007571	N-Acetylglutamic acid	CHEBI:17533	C7H11NO5	CC(=O)N[C@@H](CCC(O)=O)C(O)=O	InChI=1S/C7H11NO5/c1-4(9)8-5(7(12)13)2-3-6(10)11/h5H,2-3H2,1H3,(H,8,9)(H,10,11)(H,12,13)/t5-/m0/s1					False	publisher-reported processed metabolite result	not available: source MAF omits m/z and retention time	MetaboLights MTBLS2015 MAF: m_MTBLS2015_LC-MS_negative_hilic_metabolite_profiling_v2_maf.tsv
