feature_id	protein_accession	gene_id	gene_name	protein_name	best_protein_q	display_label	annotation_source	ECOLI-B36-RPMI
PROT:WP_001219652.1	WP_001219652.1	EW036_RS02705	dusB	tRNA dihydrouridine synthase DusB	0.0004998375	dusB — tRNA dihydrouridine synthase DusB	search FASTA description + reference GFF	25.93925506344896
PROT:WP_001219792.1	WP_001219792.1	EW036_RS22715	mpl	UDP-N-acetylmuramate:L-alanyl-gamma-D-glutamyl-meso-diaminopimelate ligase	0.0004998375	mpl — UDP-N-acetylmuramate:L-alanyl-gamma-D-glutamyl-meso-diaminopimelate ligase	search FASTA description + reference GFF	30.595830641337216
PROT:WP_001220233.1	WP_001220233.1	EW036_RS19025	adk	adenylate kinase	0.0004998375	adk — adenylate kinase	search FASTA description + reference GFF	33.62747497494085
PROT:WP_001220974.1	WP_001220974.1	EW036_RS13285	tsaB	tRNA (adenosine(37)-N6)-threonylcarbamoyltransferase complex dimerization subunit type 1 TsaB	0.0004998375	tsaB — tRNA (adenosine(37)-N6)-threonylcarbamoyltransferase complex dimerization subunit type 1 TsaB	search FASTA description + reference GFF	26.87468187413455
PROT:WP_001221493.1	WP_001221493.1	EW036_RS03895	qseB	quorum sensing response regulator transcription factor QseB	0.0004998375	qseB — quorum sensing response regulator transcription factor QseB	search FASTA description + reference GFF	27.018776515820065
PROT:WP_001221940.1	WP_001221940.1	EW036_RS04060	hybD	HyaD/HybD family hydrogenase maturation endopeptidase	0.0004998375	hybD — HyaD/HybD family hydrogenase maturation endopeptidase	search FASTA description + reference GFF	27.08316390889768
PROT:WP_001222509.1	WP_001222509.1	EW036_RS04930	rsmE	16S rRNA (uracil(1498)-N(3))-methyltransferase	0.0004998375	rsmE — 16S rRNA (uracil(1498)-N(3))-methyltransferase	search FASTA description + reference GFF	28.069144982869453
PROT:WP_001222871.1	WP_001222871.1	EW036_RS01220	dppA	dipeptide ABC transporter substrate-binding protein DppA	0.0004998375	dppA — dipeptide ABC transporter substrate-binding protein DppA	search FASTA description + reference GFF	31.113956543876903
PROT:WP_001223200.1	WP_001223200.1	EW036_RS21500	yjtD	tRNA/rRNA methyltransferase	0.0004998375	yjtD — tRNA/rRNA methyltransferase	search FASTA description + reference GFF	26.464258141708285
PROT:WP_001223344.1	WP_001223344.1	EW036_RS04595	iha	bifunctional siderophore receptor/adhesin Iha	0.0004998375	iha — bifunctional siderophore receptor/adhesin Iha	search FASTA description + reference GFF	27.84662663512911
PROT:WP_001223800.1	WP_001223800.1	EW036_RS24570	cpxP	cell-envelope stress modulator CpxP	0.0004998375	cpxP — cell-envelope stress modulator CpxP	search FASTA description + reference GFF	28.202309515449567
PROT:WP_001225072.1	WP_001225072.1	EW036_RS01320	bcsC	cellulose synthase complex outer membrane protein BcsC	0.0004998375	bcsC — cellulose synthase complex outer membrane protein BcsC	search FASTA description + reference GFF	29.83388889114146
PROT:WP_001226476.1	WP_001226476.1	EW036_RS10570	rssA	patatin-like phospholipase RssA	0.0004998375	rssA — patatin-like phospholipase RssA	search FASTA description + reference GFF	23.486477681984425
PROT:WP_001226629.1	WP_001226629.1	EW036_RS25300	rffG	dTDP-glucose 4,6-dehydratase	0.0004998375	rffG — dTDP-glucose 4,6-dehydratase	search FASTA description + reference GFF	26.42475478785113
PROT:WP_001226933.1	WP_001226933.1	EW036_RS23740	aphA	acid phosphatase AphA	0.0004998375	aphA — acid phosphatase AphA	search FASTA description + reference GFF	28.54598484938055
PROT:WP_001228972.1	WP_001228972.1	EW036_RS12970	spy	ATP-independent periplasmic protein-refolding chaperone Spy	0.0004998375	spy — ATP-independent periplasmic protein-refolding chaperone Spy	search FASTA description + reference GFF	31.325439760185656
PROT:WP_001229265.1	WP_001229265.1	EW036_RS12815	ihfA	integration host factor subunit alpha	0.0004998375	ihfA — integration host factor subunit alpha	search FASTA description + reference GFF	33.21962322552556
PROT:WP_001230098.1	WP_001230098.1	EW036_RS24335	argH	argininosuccinate lyase	0.0004998375	argH — argininosuccinate lyase	search FASTA description + reference GFF	28.187097121351965
PROT:WP_001231421.1	WP_001231421.1	EW036_RS18315	rlpA	endolytic peptidoglycan transglycosylase RlpA	0.0004998375	rlpA — endolytic peptidoglycan transglycosylase RlpA	search FASTA description + reference GFF	29.248202010456733
PROT:WP_001232240.1	WP_001232240.1	EW036_RS22700	cybC	cytochrome b562	0.0004998375	cybC — cytochrome b562	search FASTA description + reference GFF	30.577527311216546
PROT:WP_001232412.1	WP_001232412.1	EW036_RS23040	hflC	protease modulator HflC	0.0004998375	hflC — protease modulator HflC	search FASTA description + reference GFF	32.423415686497776
PROT:WP_001232702.1	WP_001232702.1	EW036_RS05905		LacI family DNA-binding transcriptional regulator	0.0004998375	EW036_RS05905 — LacI family DNA-binding transcriptional regulator	search FASTA description + reference GFF	25.3547618115855
PROT:WP_001234367.1	WP_001234367.1	EW036_RS18510	fepB	Fe2+-enterobactin ABC transporter substrate-binding protein	0.0004998375	fepB — Fe2+-enterobactin ABC transporter substrate-binding protein	search FASTA description + reference GFF	24.08612764366845
PROT:WP_001234767.1	WP_001234767.1	EW036_RS15555	dcd	dCTP deaminase	0.0004998375	dcd — dCTP deaminase	search FASTA description + reference GFF	30.159951263956707
PROT:WP_001234850.1	WP_001234850.1	EW036_RS16140	rsuA	16S rRNA pseudouridine(516) synthase RsuA	0.0004998375	rsuA — 16S rRNA pseudouridine(516) synthase RsuA	search FASTA description + reference GFF	29.17752578347329
PROT:WP_001235102.1	WP_001235102.1	EW036_RS06670	clpB	ATP-dependent chaperone ClpB	0.0004998375	clpB — ATP-dependent chaperone ClpB	search FASTA description + reference GFF	37.05080647707195
PROT:WP_001235263.1	WP_001235263.1	EW036_RS17835	sdhB	succinate dehydrogenase iron-sulfur subunit SdhB	0.0004998375	sdhB — succinate dehydrogenase iron-sulfur subunit SdhB	search FASTA description + reference GFF	32.89850743430681
PROT:WP_001236430.1	WP_001236430.1	EW036_RS00830	waaU	glycosyltransferase family 9 protein	0.0004998375	waaU — glycosyltransferase family 9 protein	search FASTA description + reference GFF	26.071253690631227
PROT:WP_001237072.1	WP_001237072.1	EW036_RS18110	nagB	glucosamine-6-phosphate deaminase	0.0004998375	nagB — glucosamine-6-phosphate deaminase	search FASTA description + reference GFF	31.83876537461765
PROT:WP_001237802.1	WP_001237802.1	EW036_RS12525	gloA	lactoylglutathione lyase	0.0004998375	gloA — lactoylglutathione lyase	search FASTA description + reference GFF	28.75352142020316
PROT:WP_001238369.1	WP_001238369.1	EW036_RS23170	blc	lipocalin Blc	0.0004998375	blc — lipocalin Blc	search FASTA description + reference GFF	29.368570359712248
PROT:WP_001238869.1	WP_001238869.1	EW036_RS25350	rep	DNA helicase Rep	0.0004998375	rep — DNA helicase Rep	search FASTA description + reference GFF	23.86173799477509
PROT:WP_001238917.1	WP_001238917.1	EW036_RS02500	rplO	50S ribosomal protein L15	0.0004998375	rplO — 50S ribosomal protein L15	search FASTA description + reference GFF	34.51293467211026
PROT:WP_001239434.1	WP_001239434.1	EW036_RS19235	cyoA	cytochrome o ubiquinol oxidase subunit II	0.0004998375	cyoA — cytochrome o ubiquinol oxidase subunit II	search FASTA description + reference GFF	31.186418490093267
