feature_id	sample_id	mz	rt_apex_minutes	rt_start_minutes	rt_end_minutes	peak_area	peak_height	scan_count	mass_span_ppm	first_scan_id	last_scan_id	polarity	collision_energy_ev
MET:FEATURE:negative:118.01454:31.223:001411	ECOLI-B36-RPMI	118.01454078599635	31.223383333333334	31.223383333333334	31.291716666666666	78.93461041768106	1819.8160400390625	3	8.1451150151284	1873410	1877511	negative	0.0
MET:FEATURE:negative:118.01460:8.717:001412	ECOLI-B36-RPMI	118.01459690697507	8.7167	8.2725	8.853383333333333	714.6440901611948	2179.55859375	12	14.734142884843447	496358	531211	negative	0.0
MET:FEATURE:negative:118.01471:9.605:001413	ECOLI-B36-RPMI	118.01470772269305	9.605116666666667	9.365933333333333	9.605116666666667	232.21764202168933	1406.321044921875	5	9.740608842931524	561963	576315	negative	0.0
MET:FEATURE:negative:118.01477:7.008:001414	ECOLI-B36-RPMI	118.01476678155663	7.0082	6.700666666666667	7.042383333333333	532.8302462371823	2111.646728515625	9	10.985675664442248	402048	422550	negative	0.0
MET:FEATURE:negative:118.01488:29.253:001415	ECOLI-B36-RPMI	118.01488260729423	29.252916666666668	29.184583333333332	29.355433333333334	241.22712121989113	1541.21337890625	4	11.344258313832084	1751082	1761334	negative	0.0
MET:FEATURE:negative:118.01500:14.355:001416	ECOLI-B36-RPMI	118.01500401852513	14.35485	14.149816666666666	14.423183333333334	236.45520751698913	978.7750854492188	6	10.685116895852675	848997	865398	negative	0.0
MET:FEATURE:negative:118.01501:29.560:001417	ECOLI-B36-RPMI	118.01500650283367	29.56045	29.56045	29.936316666666666	612.0822630015059	2418.92529296875	8	12.586050905058661	1773634	1796186	negative	0.0
MET:FEATURE:negative:118.01504:5.983:001418	ECOLI-B36-RPMI	118.0150363921228	5.9831	5.914766666666667	6.15395	346.5076786682125	1800.0169677734375	5	14.012304552341547	354893	369244	negative	0.0
MET:FEATURE:negative:118.01523:33.000:001419	ECOLI-B36-RPMI	118.01523106232912	33.000283333333336	32.829433333333334	33.000283333333336	190.75022319844746	1374.471923828125	5	10.682773929995612	1969773	1980024	negative	0.0
MET:FEATURE:negative:118.01527:2.566:001420	ECOLI-B36-RPMI	118.01527085517112	2.566116666666667	2.361083333333333	2.566116666666667	214.0001985270186	1844.244384765625	5	11.231696720451549	141672	153974	negative	0.0
MET:FEATURE:negative:118.01547:1.484:001421	ECOLI-B36-RPMI	118.01547453424408	1.4840666666666666	1.4840666666666666	1.6890833333333333	125.11712865397132	857.5337524414062	4	5.812853180502333	89051	101353	negative	0.0
MET:FEATURE:negative:118.01548:11.826:001422	ECOLI-B36-RPMI	118.01547800296707	11.826216666666667	11.757883333333334	12.0654	293.4581499384557	1328.47412109375	7	12.135143180927791	705481	723932	negative	0.0
MET:FEATURE:negative:118.01550:30.346:001423	ECOLI-B36-RPMI	118.01549818655046	30.34635	30.073	30.824733333333334	921.7554599477168	1697.1766357421875	17	13.324891018883093	1804388	1849492	negative	0.0
MET:FEATURE:negative:118.01551:24.913:001424	ECOLI-B36-RPMI	118.01550655594191	24.91335	24.91335	24.981683333333333	43.86069613138703	731.6478271484375	3	10.553269399067037	1494809	1498909	negative	0.0
MET:FEATURE:negative:118.01553:19.104:001425	ECOLI-B36-RPMI	118.01552970676333	19.104433333333333	19.104433333333333	19.343633333333333	166.9997899058026	798.4390258789062	4	13.309483080157115	1146273	1160626	negative	0.0
MET:FEATURE:negative:118.01556:21.838:001426	ECOLI-B36-RPMI	118.01555936584927	21.838033333333332	21.7697	22.04305	188.01583266805028	819.6809692382812	5	9.229985372290532	1306190	1322591	negative	0.0
MET:FEATURE:negative:118.01557:12.817:001427	ECOLI-B36-RPMI	118.01557399915818	12.8172	12.202083333333333	13.0564	821.1864433034266	2144.90673828125	22	17.616061901350506	732133	783391	negative	0.0
MET:FEATURE:negative:118.01560:7.726:001428	ECOLI-B36-RPMI	118.01559531530282	7.725783333333333	7.5549333333333335	7.794116666666667	301.2357293792722	1693.2099609375	4	6.689620985785222	453303	467655	negative	0.0
MET:FEATURE:negative:118.01561:3.455:001429	ECOLI-B36-RPMI	118.01560647577608	3.45455	2.7711333333333332	3.830416666666667	1373.1444179219566	2037.5777587890625	21	13.160204958904796	166276	229832	negative	0.0
MET:FEATURE:negative:118.01561:6.188:001430	ECOLI-B36-RPMI	118.01561207865069	6.188116666666667	6.188116666666667	6.563983333333334	625.7641276916509	2237.001708984375	6	8.296283386249288	371294	393846	negative	0.0
MET:FEATURE:negative:118.01570:4.138:001431	ECOLI-B36-RPMI	118.01569895165848	4.137933333333334	4.137933333333334	4.4454666666666665	367.54374907434715	1501.9150390625	7	11.22598555180873	248284	266735	negative	0.0
MET:FEATURE:negative:118.01574:16.200:001432	ECOLI-B36-RPMI	118.015735281704	16.200016666666667	16.131666666666668	16.234183333333334	80.30133562825498	970.3077392578125	3	4.830243222421128	967908	974059	negative	0.0
MET:FEATURE:negative:118.01592:32.009:001433	ECOLI-B36-RPMI	118.01591786969276	32.009366666666665	31.736	32.009366666666665	317.70198323618297	1485.7935791015625	7	13.35948095723907	1904168	1920570	negative	0.0
MET:FEATURE:negative:118.01595:15.619:001434	ECOLI-B36-RPMI	118.01595313371737	15.619116666666667	15.3116	15.721633333333333	329.7294067164101	1048.7874755859375	7	8.370841899296384	918703	943305	negative	0.0
MET:FEATURE:negative:118.01599:10.186:001435	ECOLI-B36-RPMI	118.01599265132431	10.186066666666667	10.186066666666667	10.288583333333333	85.86069186096165	928.0972900390625	3	8.648958043431744	611172	617323	negative	0.0
MET:FEATURE:negative:118.01601:2.088:001436	ECOLI-B36-RPMI	118.01600850073896	2.0877333333333334	1.8941	2.2244166666666665	441.95570063374834	2171.754638671875	7	14.333049528901459	113654	133472	negative	0.0
MET:FEATURE:negative:118.01614:7.179:001437	ECOLI-B36-RPMI	118.01613758640714	7.1790666666666665	7.07655	7.1790666666666665	174.0394962626134	2072.1708984375	4	0.5431291145369559	424600	430751	negative	0.0
MET:FEATURE:negative:118.01614:13.569:001438	ECOLI-B36-RPMI	118.01614294048376	13.568933333333334	13.432266666666667	13.77395	231.12532839101078	906.5706787109375	7	8.722476959871175	805943	826445	negative	0.0
MET:FEATURE:negative:118.01615:1.279:001439	ECOLI-B36-RPMI	118.01615493415483	1.27905	1.1765333333333334	1.3473833333333334	150.60447352727252	1205.81689453125	5	11.800102563202957	70600	80851	negative	0.0
MET:FEATURE:negative:118.01618:7.931:001440	ECOLI-B36-RPMI	118.01618104049317	7.9308	7.9308	8.033316666666666	127.20117675882945	1416.2637939453125	3	4.422914888621813	475855	482006	negative	0.0
MET:FEATURE:negative:118.01623:32.419:001441	ECOLI-B36-RPMI	118.01622732516812	32.4194	32.282716666666666	32.4194	181.59255869802453	1540.788330078125	4	4.5859626821798605	1936971	1945171	negative	0.0
MET:FEATURE:negative:118.01624:0.493:001442	ECOLI-B36-RPMI	118.0162437174158	0.49315	0.35646666666666665	0.49315	88.01815504862466	829.897216796875	3	9.076467790996984	21396	29597	negative	0.0
MET:FEATURE:negative:118.01625:20.335:001443	ECOLI-B36-RPMI	118.01625222010014	20.334566666666667	20.197883333333333	20.334566666666667	113.86231088816403	970.7662353515625	5	12.077873805797276	1211881	1220081	negative	0.0
MET:FEATURE:negative:118.01629:14.594:001444	ECOLI-B36-RPMI	118.01628958379595	14.594033333333334	14.559866666666666	14.79905	193.1463967798869	1353.15185546875	6	12.304676482425876	873599	887950	negative	0.0
MET:FEATURE:negative:118.01631:21.565:001445	ECOLI-B36-RPMI	118.01631236369263	21.564683333333335	21.428	21.564683333333335	80.20072850341843	810.8685913085938	3	8.981525515280582	1285688	1293888	negative	0.0
MET:FEATURE:negative:118.01647:14.116:001446	ECOLI-B36-RPMI	118.01646750391903	14.11565	13.9448	14.11565	115.71663753712988	1240.20703125	4	6.809870966135473	836695	846947	negative	0.0
MET:FEATURE:negative:118.01647:19.959:001447	ECOLI-B36-RPMI	118.01646988414116	19.9587	19.8562	20.061216666666667	130.04406296386645	701.0155639648438	3	4.1225427318058205	1191379	1203680	negative	0.0
MET:FEATURE:negative:118.01663:9.673:001448	ECOLI-B36-RPMI	118.01663374089587	9.67345	9.67345	9.775966666666667	94.65643488820355	965.0435180664062	3	6.155751601618187	580414	586565	negative	0.0
MET:FEATURE:negative:118.01681:11.245:001449	ECOLI-B36-RPMI	118.01680516332188	11.245333333333333	11.142833333333334	11.245333333333333	97.67569335937398	1371.5220947265625	3	9.224837258147334	668578	674727	negative	0.0
MET:FEATURE:negative:118.01686:16.371:001450	ECOLI-B36-RPMI	118.01686446647754	16.37085	16.37085	16.507533333333335	88.49569598693878	705.272705078125	3	4.048316691411923	982258	990460	negative	0.0
MET:FEATURE:negative:118.01693:25.358:001451	ECOLI-B36-RPMI	118.01693090883445	25.35755	25.152533333333334	25.35755	121.20383838958674	670.8038330078125	3	10.563004522944135	1509159	1521461	negative	0.0
MET:FEATURE:negative:118.01725:22.214:001452	ECOLI-B36-RPMI	118.01725290215029	22.2139	22.077233333333332	22.2139	94.77463284810378	779.61962890625	3	11.145723985298508	1324642	1332841	negative	0.0
MET:FEATURE:negative:118.01742:20.984:001453	ECOLI-B36-RPMI	118.01742090741116	20.9838	20.9838	21.120466666666665	124.8786411539715	1515.781982421875	3	4.561923446353155	1259035	1267236	negative	0.0
MET:FEATURE:negative:118.02273:18.387:001454	ECOLI-B36-RPMI	118.02273360195996	18.386866666666666	17.9085	18.6944	43248.933925170764	163201.734375	24	15.845163239851901	1074518	1121671	negative	0.0
MET:FEATURE:negative:118.05000:23.683:001455	ECOLI-B36-RPMI	118.04999609966691	23.6832	23.614866666666668	23.785716666666666	123.1555068140652	912.7256469726562	4	9.857452973014523	1416899	1427150	negative	0.0
MET:FEATURE:negative:118.05014:24.674:001456	ECOLI-B36-RPMI	118.0501444918185	24.67415	24.5033	24.67415	120.46200174306387	1312.04150390625	3	4.862401430123678	1470205	1480456	negative	0.0
MET:FEATURE:negative:118.05045:20.608:001457	ECOLI-B36-RPMI	118.05044672538261	20.60793333333333	20.60793333333333	20.676266666666667	52.84629173278948	1170.927978515625	3	7.456693494861032	1236483	1240584	negative	0.0
MET:FEATURE:negative:118.05049:15.961:001458	ECOLI-B36-RPMI	118.05049136330796	15.960816666666666	15.858316666666667	16.16583333333333	348.6066288004541	1838.019775390625	8	11.062390096633743	951507	969958	negative	0.0
MET:FEATURE:negative:118.05063:21.086:001459	ECOLI-B36-RPMI	118.0506273563364	21.0863	21.0863	21.22298333333333	80.7974330401083	843.3499145507812	3	13.436401056994114	1265185	1273387	negative	0.0
MET:FEATURE:negative:118.05064:25.768:001460	ECOLI-B36-RPMI	118.05064120924321	25.767583333333334	25.767583333333334	26.109283333333334	284.939633538309	1057.2169189453125	6	7.734999403314077	1546063	1566565	negative	0.0
MET:FEATURE:negative:118.05065:12.681:001461	ECOLI-B36-RPMI	118.05065164932905	12.680533333333333	12.0654	12.919716666666666	2009.5944063695276	5096.97900390625	21	15.130974186387	723932	775190	negative	0.0
MET:FEATURE:negative:118.05075:22.521:001462	ECOLI-B36-RPMI	118.05075125874374	22.521433333333334	22.2139	23.239	997.1532906529776	2089.990966796875	25	20.156565362329367	1332841	1394347	negative	0.0
