modality	platform	comparison_key	B36_logFC	MS14384_logFC	B36_FDR	MS14384_FDR	gene_name	annotation_description	MS14384_minus_B36_logFC	B36_significant_FDR_lt_0_05	MS14384_significant_FDR_lt_0_05	comparison_definition	source_layer
RNAseq	publisher_transcriptomics	g004780	-1.43913963993524	-0.472150255284234	0.000812634238955709	0.363586517528093	purF	amidophosphoribosyltransferase	0.966989384651006	True	False	difference between each strain's serum-versus-RPMI response; not a direct abundance fold-change between strains	public_processed
RNAseq	publisher_transcriptomics	g004781	1.68329030140074		0.00330091588958487		EW036_RS05920	carbohydrate porin		True	False	difference between each strain's serum-versus-RPMI response; not a direct abundance fold-change between strains	public_processed
RNAseq	publisher_transcriptomics	g004782	0.36767705726056	0.382509144311675	0.309924548366573	0.284537341437962	EW036_RS20610	dGTPase	0.014832087051114995	False	False	difference between each strain's serum-versus-RPMI response; not a direct abundance fold-change between strains	public_processed
RNAseq	publisher_transcriptomics	g004783	1.57931441542381	0.320478495169288	0.0196676168801194	0.770981831339905	EW036_RS07300	aldehyde dehydrogenase EutE	-1.2588359202545218	True	False	difference between each strain's serum-versus-RPMI response; not a direct abundance fold-change between strains	public_processed
RNAseq	publisher_transcriptomics	g004784	2.59001748242334	1.219620147309	1.16526928732534e-09	0.0170857000028626	EW036_RS13745	L-arabinose ABC transporter ATP-binding protein AraG	-1.37039733511434	True	True	difference between each strain's serum-versus-RPMI response; not a direct abundance fold-change between strains	public_processed
RNAseq	publisher_transcriptomics	g004785	2.81546631583285	2.10901133370402	6.77308786678467e-06	0.00872213287542685	caiT	L-carnitine/gamma-butyrobetaine antiport BCCT transporter	-0.7064549821288297	True	True	difference between each strain's serum-versus-RPMI response; not a direct abundance fold-change between strains	public_processed
RNAseq	publisher_transcriptomics	g004786	0.00705532475885082	1.17529801784653	0.991987345792373	0.0266589328805125	pepA	leucyl aminopeptidase	1.1682426930876793	False	True	difference between each strain's serum-versus-RPMI response; not a direct abundance fold-change between strains	public_processed
RNAseq	publisher_transcriptomics	g004788	1.47337211869565	0.802613145465255	0.0102387399112326	0.0565562033918268	EW036_RS01895	glycerol-3-phosphate dehydrogenase	-0.6707589732303951	True	False	difference between each strain's serum-versus-RPMI response; not a direct abundance fold-change between strains	public_processed
RNAseq	publisher_transcriptomics	g004789	1.82520285860777		0.000643507934577646		EW036_RS01595	carbohydrate kinase		True	False	difference between each strain's serum-versus-RPMI response; not a direct abundance fold-change between strains	public_processed
RNAseq	publisher_transcriptomics	g004792	0.972082322397758	0.923564327601479	0.0310854608089945	0.00797923885455441	rbsA	ribose ABC transporter ATP-binding protein RbsA	-0.04851799479627905	True	True	difference between each strain's serum-versus-RPMI response; not a direct abundance fold-change between strains	public_processed
RNAseq	publisher_transcriptomics	g004794	-0.250112753643717	0.682533309005453	0.562116077383793	0.111445960602966	EW036_RS01335	insulinase family protein	0.9326460626491699	False	False	difference between each strain's serum-versus-RPMI response; not a direct abundance fold-change between strains	public_processed
RNAseq	publisher_transcriptomics	g004795	1.52180343246964	1.66929090202987	0.000673543165030286	0.00815522222630538	araA	L-arabinose isomerase	0.14748746956023018	True	True	difference between each strain's serum-versus-RPMI response; not a direct abundance fold-change between strains	public_processed
RNAseq	publisher_transcriptomics	g004796	2.08741389507034	1.0783234347159	2.39930060961943e-06	0.00122698872678868	EW036_RS22735	sugar ABC transporter ATP-binding protein	-1.0090904603544397	True	True	difference between each strain's serum-versus-RPMI response; not a direct abundance fold-change between strains	public_processed
