gene_id	gene_symbol	description	BC187	YJM981	CENPK1137D_TPM	BC187_within_dataset_percentile	YJM981_within_dataset_percentile	CENPK1137D_TPM_within_dataset_percentile	comparison_scope	source_layer
YHR127W	YHS7	mRNP network protein YHS7	48.789561	35.897373	47.51212093775335	0.4951230840687413	0.39588171543582595	0.4526039715249157	gene-level evidence alignment; values are not batch-corrected and no cross-study fold change is reported	public_processed_cross_study_evidence
YHR128W	FUR1	uracil phosphoribosyltransferase	71.840675	111.000633	67.64138281862104	0.6341538937916086	0.7661402693915467	0.5790558261521169	gene-level evidence alignment; values are not batch-corrected and no cross-study fold change is reported	public_processed_cross_study_evidence
YHR129C	ARP1	actin-related protein 1	32.393613	25.594361	20.7624186636659	0.3443257470196625	0.29942715590648705	0.16260771824653428	gene-level evidence alignment; values are not batch-corrected and no cross-study fold change is reported	public_processed_cross_study_evidence
YHR130C	YHR130C	uncharacterized protein	37.961266	0.0		0.40486143365846106	0.06758012076172783		gene-level evidence alignment; values are not batch-corrected and no cross-study fold change is reported	public_processed_cross_study_evidence
YHR131C	YHR131C	uncharacterized protein	38.969403	21.871666	23.125711265729944	0.4139959746090726	0.2679981421272643	0.18995878606219557	gene-level evidence alignment; values are not batch-corrected and no cross-study fold change is reported	public_processed_cross_study_evidence
YHR132C	ECM14	putative metallocarboxypeptidase	130.87095	157.498684	117.13563832719072	0.7931568354234402	0.8334107446973216	0.7351067815661296	gene-level evidence alignment; values are not batch-corrected and no cross-study fold change is reported	public_processed_cross_study_evidence
YHR132W-A	IGO2	phosphatase regulator	139.574755	165.889376	448.3346837168792	0.8046137172936987	0.8410744697321567	0.9304983139752716	gene-level evidence alignment; values are not batch-corrected and no cross-study fold change is reported	public_processed_cross_study_evidence
YHR133C	NSG1	Nsg1p	110.65969	74.991088	57.15153875726107	0.758631367084688	0.657841771172008	0.5237916822780068	gene-level evidence alignment; values are not batch-corrected and no cross-study fold change is reported	public_processed_cross_study_evidence
YHR134W	WSS1	metalloendopeptidase WSS1	34.64317	20.275368	34.79964843594944	0.37358724260721476	0.2543737420653352	0.32802547770700635	gene-level evidence alignment; values are not batch-corrected and no cross-study fold change is reported	public_processed_cross_study_evidence
YHR135C	YCK1	serine/threonine protein kinase YCK1	136.726291	60.938954	97.82793756313758	0.8016720854621459	0.5884811890385508	0.6867740726863995	gene-level evidence alignment; values are not batch-corrected and no cross-study fold change is reported	public_processed_cross_study_evidence
YHR136C	SPL2	Spl2p	519.330498	712.767641	7.726577918429628	0.9456572224802601	0.9633070134695774	0.03222180591982016	gene-level evidence alignment; values are not batch-corrected and no cross-study fold change is reported	public_processed_cross_study_evidence
YHR137W	ARO9	aromatic-amino-acid:2-oxoglutarate transaminase	53.490427	63.902911	106.67863654634944	0.5336739433348816	0.6037312277442328	0.7101910828025477	gene-level evidence alignment; values are not batch-corrected and no cross-study fold change is reported	public_processed_cross_study_evidence
YHR138C	YHR138C	uncharacterized protein	214.431637	266.577015	992.2303393762146	0.8718067812354854	0.8979718222635082	0.9732109404271263	gene-level evidence alignment; values are not batch-corrected and no cross-study fold change is reported	public_processed_cross_study_evidence
YHR139C	SPS100	Sps100p	0.866802	0.0	215.7168402978819	0.10837590958352686	0.06758012076172783	0.8521918321468714	gene-level evidence alignment; values are not batch-corrected and no cross-study fold change is reported	public_processed_cross_study_evidence
YHR139C-A	YHR139C-A	uncharacterized protein	5.450848	0.0		0.14065644836662022	0.06758012076172783		gene-level evidence alignment; values are not batch-corrected and no cross-study fold change is reported	public_processed_cross_study_evidence
YHR140W	YHR140W	uncharacterized protein	36.611532	13.685874	62.71727684538649	0.3927078495123084	0.2021210713732776	0.5535781191457475	gene-level evidence alignment; values are not batch-corrected and no cross-study fold change is reported	public_processed_cross_study_evidence
YHR141C	RPL42B	60S ribosomal protein eL42 RPL42B	301.298865	340.530396		0.9095835268617433	0.9191825359962843		gene-level evidence alignment; values are not batch-corrected and no cross-study fold change is reported	public_processed_cross_study_evidence
YHR142W	CHS7	Chs7p	73.31993	41.446179	110.44984702986731	0.6398823347267378	0.45030190431955414	0.718433870363432	gene-level evidence alignment; values are not batch-corrected and no cross-study fold change is reported	public_processed_cross_study_evidence
YHR143W	DSE2	Dse2p	53.03709	100.754897	78.62442820665012	0.5304226660473758	0.7426072147391237	0.6279505432746347	gene-level evidence alignment; values are not batch-corrected and no cross-study fold change is reported	public_processed_cross_study_evidence
