reported_result_id	study_accession	source_sample_id	showcase_sample_id	metabolite_name	reported_abundance	source_identification_label	database_identifier	chemical_formula	smiles	inchi	pubchem_id	kegg_id	hmdb_id	method	is_internal_standard	result_layer	mapping_to_reprocessed_feature	annotation_source
MTBLS697:ROW:0039	MTBLS697	CHAL-00035	YEAST-CENPK-LOWGROWTH	1-palmitoyl-2-palmitoleoyl-GPC (16:0/16:1)*	608847296.0	1-palmitoyl-2-palmitoleoyl-GPC (16:0/16:1)*	CHEBI:74000	C40H78NO8P	O(C(=O)CCCCCCC/C=C\CCCCCC)[C@H](COC(CCCCCCCCCCCCCCC)=O)COP(=O)([O-])OCC[N+](C)(C)C	InChI=1S/C40H78NO8P/c1-6-8-10-12-14-16-18-20-22-24-26-28-30-32-39(42)46-36-38(37-48-50(44,45)47-35-34-41(3,4)5)49-40(43)33-31-29-27-25-23-21-19-17-15-13-11-9-7-2/h17,19,38H,6-16,18,20-37H2,1-5H3/b19-17-/t38-/m1/s1			HMDB07969	Method 2	False	publisher-reported processed metabolite result	not available: source MAF omits m/z and retention time	MetaboLights MTBLS697 MAF: m_MTBLS697_metabolite_profiling_mass_spectrometry_v2_maf.tsv
MTBLS697:ROW:0040	MTBLS697	CHAL-00035	YEAST-CENPK-LOWGROWTH	1-palmitoyl-2-stearoyl-GPC (16:0/18:0)	1384537.0	1-palmitoyl-2-stearoyl-GPC (16:0/18:0)	CHEBI:73000	C42H84NO8P	[H][C@@](COC(=O)CCCCCCCCCCCCCCC)(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCCCCCCCCCCCCCCCC	InChI=1S/C42H84NO8P/c1-6-8-10-12-14-16-18-20-21-23-25-27-29-31-33-35-42(45)51-40(39-50-52(46,47)49-37-36-43(3,4)5)38-48-41(44)34-32-30-28-26-24-22-19-17-15-13-11-9-7-2/h40H,6-39H2,1-5H3/t40-/m1/s1			HMDB07970	Method 2	False	publisher-reported processed metabolite result	not available: source MAF omits m/z and retention time	MetaboLights MTBLS697 MAF: m_MTBLS697_metabolite_profiling_mass_spectrometry_v2_maf.tsv
MTBLS697:ROW:0041	MTBLS697	CHAL-00035	YEAST-CENPK-LOWGROWTH	1-palmitoyl-GPC (16:0)	54497484.0	1-palmitoyl-GPC (16:0)	CHEBI:72998	C24H50NO7P	[C@@H](COC(=O)CCCCCCCCCCCCCCC)(COP(OCC[N+](C)(C)C)(=O)[O-])O	InChI=1S/C24H50NO7P/c1-5-6-7-8-9-10-11-12-13-14-15-16-17-18-24(27)30-21-23(26)22-32-33(28,29)31-20-19-25(2,3)4/h23,26H,5-22H2,1-4H3/t23-/m1/s1	86554		HMDB10382	Method 2	False	publisher-reported processed metabolite result	not available: source MAF omits m/z and retention time	MetaboLights MTBLS697 MAF: m_MTBLS697_metabolite_profiling_mass_spectrometry_v2_maf.tsv
MTBLS697:ROW:0042	MTBLS697	CHAL-00035	YEAST-CENPK-LOWGROWTH	1-palmitoyl-GPE (16:0)	3991511.0	1-palmitoyl-GPE (16:0)	CHEBI:73004	C21H44NO7P	[C@@H](COC(=O)CCCCCCCCCCCCCCC)(COP(OCC[NH3+])(=O)[O-])O	InChI=1S/C21H44NO7P/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-21(24)27-18-20(23)19-29-30(25,26)28-17-16-22/h20,23H,2-19,22H2,1H3,(H,25,26)/t20-/m1/s1	9547069		HMDB11503	Method 2	False	publisher-reported processed metabolite result	not available: source MAF omits m/z and retention time	MetaboLights MTBLS697 MAF: m_MTBLS697_metabolite_profiling_mass_spectrometry_v2_maf.tsv
MTBLS697:ROW:0043	MTBLS697	CHAL-00035	YEAST-CENPK-LOWGROWTH	1-palmitoyl-GPI (16:0)	15367048.0	1-palmitoyl-GPI (16:0)	CHEBI:73218	C25H49O12P	CCCCCCCCCCCCCCCC(=O)OC[C@@H](O)COP(O)(=O)O[C@H]1[C@H](O)[C@@H](O)[C@H](O)[C@@H](O)[C@H]1O	InChI=1S/C25H49O12P/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-19(27)35-16-18(26)17-36-38(33,34)37-25-23(31)21(29)20(28)22(30)24(25)32/h18,20-26,28-32H,2-17H2,1H3,(H,33,34)/t18-,20-,21-,22+,23-,24-,25-/m1/s1			HMDB61695	Method 3	False	publisher-reported processed metabolite result	not available: source MAF omits m/z and retention time	MetaboLights MTBLS697 MAF: m_MTBLS697_metabolite_profiling_mass_spectrometry_v2_maf.tsv
MTBLS697:ROW:0044	MTBLS697	CHAL-00035	YEAST-CENPK-LOWGROWTH	1-palmitoyl-GPS (16:0)*	6276227.0	1-palmitoyl-GPS (16:0)*					9547100			Method 2	False	publisher-reported processed metabolite result	not available: source MAF omits m/z and retention time	MetaboLights MTBLS697 MAF: m_MTBLS697_metabolite_profiling_mass_spectrometry_v2_maf.tsv
MTBLS697:ROW:0045	MTBLS697	CHAL-00035	YEAST-CENPK-LOWGROWTH	1-stearoyl-2-arachidonoyl-GPC (18:0/20:4)	461459.0	1-stearoyl-2-arachidonoyl-GPC (18:0/20:4)	CHEBI:74965	C46H84NO8P	O=C(CCC/C=C\C/C=C\C/C=C\C/C=C\CCCCC)O[C@@H](COP(OCC[N+](C)(C)C)(=O)[O-])COC(=O)CCCCCCCCCCCCCCCCC	InChI=1S/C46H84NO8P/c1-6-8-10-12-14-16-18-20-22-23-25-27-29-31-33-35-37-39-46(49)55-44(43-54-56(50,51)53-41-40-47(3,4)5)42-52-45(48)38-36-34-32-30-28-26-24-21-19-17-15-13-11-9-7-2/h14,16,20,22,25,27,31,33,44H,6-13,15,17-19,21,23-24,26,28-30,32,34-43H2,1-5H3/b16-14-,22-20-,27-25-,33-31-/t44-/m1/s1	16219824		HMDB08048	Method 2	False	publisher-reported processed metabolite result	not available: source MAF omits m/z and retention time	MetaboLights MTBLS697 MAF: m_MTBLS697_metabolite_profiling_mass_spectrometry_v2_maf.tsv
MTBLS697:ROW:0046	MTBLS697	CHAL-00035	YEAST-CENPK-LOWGROWTH	1-stearoyl-2-oleoyl-GPC (18:0/18:1)	159885344.0	1-stearoyl-2-oleoyl-GPC (18:0/18:1)	CHEBI:75034	C44H86NO8P	O(P(OC[C@@H](COC(CCCCCCCCCCCCCCCCC)=O)OC(CCCCCCC/C=C\CCCCCCCC)=O)(=O)[O-])CC[N+](C)(C)C	InChI=1S/C44H86NO8P/c1-6-8-10-12-14-16-18-20-22-24-26-28-30-32-34-36-43(46)50-40-42(41-52-54(48,49)51-39-38-45(3,4)5)53-44(47)37-35-33-31-29-27-25-23-21-19-17-15-13-11-9-7-2/h21,23,42H,6-20,22,24-41H2,1-5H3/b23-21-/t42-/m1/s1			HMDB08038	Method 2	False	publisher-reported processed metabolite result	not available: source MAF omits m/z and retention time	MetaboLights MTBLS697 MAF: m_MTBLS697_metabolite_profiling_mass_spectrometry_v2_maf.tsv
MTBLS697:ROW:0047	MTBLS697	CHAL-00035	YEAST-CENPK-LOWGROWTH	1-stearoyl-2-oleoyl-GPE (18:0/18:1)	3773211.0	1-stearoyl-2-oleoyl-GPE (18:0/18:1)	CHEBI:75038	C41H80NO8P	CCCCCCCCCCCCCCCCCC(=O)OC[C@H](COP([O-])(=O)OCC[NH3+])OC(=O)CCCCCCC\C=C/CCCCCCCC	InChI=1S/C41H80NO8P/c1-3-5-7-9-11-13-15-17-19-21-23-25-27-29-31-33-40(43)47-37-39(38-49-51(45,46)48-36-35-42)50-41(44)34-32-30-28-26-24-22-20-18-16-14-12-10-8-6-4-2/h18,20,39H,3-17,19,21-38,42H2,1-2H3,(H,45,46)/b20-18-/t39-/m1/s1			HMDB08993	Method 2	False	publisher-reported processed metabolite result	not available: source MAF omits m/z and retention time	MetaboLights MTBLS697 MAF: m_MTBLS697_metabolite_profiling_mass_spectrometry_v2_maf.tsv
MTBLS697:ROW:0048	MTBLS697	CHAL-00035	YEAST-CENPK-LOWGROWTH	1-stearoyl-2-oleoyl-GPI (18:0/18:1)*	94848672.0	1-stearoyl-2-oleoyl-GPI (18:0/18:1)*								Method 2	False	publisher-reported processed metabolite result	not available: source MAF omits m/z and retention time	MetaboLights MTBLS697 MAF: m_MTBLS697_metabolite_profiling_mass_spectrometry_v2_maf.tsv
