feature_id	protein_accession	gene_id	gene_name	protein_name	best_protein_q	display_label	annotation_source	YEAST-CENPK-LOWGROWTH
PROT:sp|P32495|NHP2_YEAST	sp|P32495|NHP2_YEAST		NHP2	H/ACA ribonucleoprotein complex subunit NHP2	0.00035489036	NHP2 — H/ACA ribonucleoprotein complex subunit NHP2	search FASTA description + reference GFF	33.17554735209322
PROT:sp|P32496|RPN12_YEAST	sp|P32496|RPN12_YEAST		RPN12	26S proteasome regulatory subunit RPN12	0.00035489036	RPN12 — 26S proteasome regulatory subunit RPN12	search FASTA description + reference GFF	32.7650638258023
PROT:sp|P32497|EIF3C_YEAST	sp|P32497|EIF3C_YEAST		NIP1	Eukaryotic translation initiation factor 3 subunit C	0.00035489036	NIP1 — Eukaryotic translation initiation factor 3 subunit C	search FASTA description + reference GFF	32.815652686073456
PROT:sp|P32499|NUP2_YEAST	sp|P32499|NUP2_YEAST		NUP2	Nucleoporin NUP2	0.00035489036	NUP2 — Nucleoporin NUP2	search FASTA description + reference GFF	31.36587837919877
PROT:sp|P32500|NDC1_YEAST	sp|P32500|NDC1_YEAST		NDC1	Nucleoporin NDC1	0.00035489036	NDC1 — Nucleoporin NDC1	search FASTA description + reference GFF	27.159820641899348
PROT:sp|P32501|EI2BE_YEAST	sp|P32501|EI2BE_YEAST		GCD6	Translation initiation factor eIF2B subunit epsilon	0.00035489036	GCD6 — Translation initiation factor eIF2B subunit epsilon	search FASTA description + reference GFF	30.377206667649546
PROT:sp|P32502|EI2BB_YEAST	sp|P32502|EI2BB_YEAST		GCD7	Translation initiation factor eIF2B subunit beta	0.00035489036	GCD7 — Translation initiation factor eIF2B subunit beta	search FASTA description + reference GFF	28.332239552707662
PROT:sp|P32505|NAB2_YEAST	sp|P32505|NAB2_YEAST		NAB2	Nuclear polyadenylated RNA-binding protein NAB2	0.00035489036	NAB2 — Nuclear polyadenylated RNA-binding protein NAB2	search FASTA description + reference GFF	29.54246477552863
PROT:sp|P32521|PAN1_YEAST	sp|P32521|PAN1_YEAST		PAN1	Actin cytoskeleton-regulatory complex protein PAN1	0.00035489036	PAN1 — Actin cytoskeleton-regulatory complex protein PAN1	search FASTA description + reference GFF	28.953789083704685
PROT:sp|P32522|PT309_YEAST	sp|P32522|PT309_YEAST		PET309	Mitochondrial COX1 translation regulator PET309	0.00043840762	PET309 — Mitochondrial COX1 translation regulator PET309	search FASTA description + reference GFF	23.53112279866317
