reaction_id	pfba_flux	model_id	upstream_baseline	analysis_method
r_0099	0.0	yeast_GEM_v9_1_0	micro_pilot_processing_20260730:v1.0.0	parsimonious_FBA
r_0100	0.0	yeast_GEM_v9_1_0	micro_pilot_processing_20260730:v1.0.0	parsimonious_FBA
r_0101	0.0	yeast_GEM_v9_1_0	micro_pilot_processing_20260730:v1.0.0	parsimonious_FBA
r_0102	0.0	yeast_GEM_v9_1_0	micro_pilot_processing_20260730:v1.0.0	parsimonious_FBA
r_0103	0.0	yeast_GEM_v9_1_0	micro_pilot_processing_20260730:v1.0.0	parsimonious_FBA
r_0104	0.1702175367784211	yeast_GEM_v9_1_0	micro_pilot_processing_20260730:v1.0.0	parsimonious_FBA
r_0105	0.0	yeast_GEM_v9_1_0	micro_pilot_processing_20260730:v1.0.0	parsimonious_FBA
r_0106	0.0	yeast_GEM_v9_1_0	micro_pilot_processing_20260730:v1.0.0	parsimonious_FBA
r_0107	0.0	yeast_GEM_v9_1_0	micro_pilot_processing_20260730:v1.0.0	parsimonious_FBA
r_0108	0.0	yeast_GEM_v9_1_0	micro_pilot_processing_20260730:v1.0.0	parsimonious_FBA
r_0109	0.9108073325888812	yeast_GEM_v9_1_0	micro_pilot_processing_20260730:v1.0.0	parsimonious_FBA
r_0111	0.0	yeast_GEM_v9_1_0	micro_pilot_processing_20260730:v1.0.0	parsimonious_FBA
r_0112	1.1465580255445904	yeast_GEM_v9_1_0	micro_pilot_processing_20260730:v1.0.0	parsimonious_FBA
r_0113	0.0	yeast_GEM_v9_1_0	micro_pilot_processing_20260730:v1.0.0	parsimonious_FBA
r_0114	0.0	yeast_GEM_v9_1_0	micro_pilot_processing_20260730:v1.0.0	parsimonious_FBA
r_0115	0.14946888856498128	yeast_GEM_v9_1_0	micro_pilot_processing_20260730:v1.0.0	parsimonious_FBA
r_0116	0.0	yeast_GEM_v9_1_0	micro_pilot_processing_20260730:v1.0.0	parsimonious_FBA
r_0117	0.0	yeast_GEM_v9_1_0	micro_pilot_processing_20260730:v1.0.0	parsimonious_FBA
r_0118	0.14946888856498128	yeast_GEM_v9_1_0	micro_pilot_processing_20260730:v1.0.0	parsimonious_FBA
r_0119	0.0	yeast_GEM_v9_1_0	micro_pilot_processing_20260730:v1.0.0	parsimonious_FBA
r_0120	0.0	yeast_GEM_v9_1_0	micro_pilot_processing_20260730:v1.0.0	parsimonious_FBA
r_0121	0.0	yeast_GEM_v9_1_0	micro_pilot_processing_20260730:v1.0.0	parsimonious_FBA
r_0122	0.0	yeast_GEM_v9_1_0	micro_pilot_processing_20260730:v1.0.0	parsimonious_FBA
r_0123	0.0	yeast_GEM_v9_1_0	micro_pilot_processing_20260730:v1.0.0	parsimonious_FBA
r_0124	0.0	yeast_GEM_v9_1_0	micro_pilot_processing_20260730:v1.0.0	parsimonious_FBA
r_0125	0.0	yeast_GEM_v9_1_0	micro_pilot_processing_20260730:v1.0.0	parsimonious_FBA
r_0126	0.0	yeast_GEM_v9_1_0	micro_pilot_processing_20260730:v1.0.0	parsimonious_FBA
r_0127	0.00791941502251006	yeast_GEM_v9_1_0	micro_pilot_processing_20260730:v1.0.0	parsimonious_FBA
r_0128	0.0	yeast_GEM_v9_1_0	micro_pilot_processing_20260730:v1.0.0	parsimonious_FBA
r_0129	0.0	yeast_GEM_v9_1_0	micro_pilot_processing_20260730:v1.0.0	parsimonious_FBA
r_0130	0.0	yeast_GEM_v9_1_0	micro_pilot_processing_20260730:v1.0.0	parsimonious_FBA
r_0131	0.0	yeast_GEM_v9_1_0	micro_pilot_processing_20260730:v1.0.0	parsimonious_FBA
r_0132	0.0	yeast_GEM_v9_1_0	micro_pilot_processing_20260730:v1.0.0	parsimonious_FBA
r_0133	0.0	yeast_GEM_v9_1_0	micro_pilot_processing_20260730:v1.0.0	parsimonious_FBA
r_0134	0.0	yeast_GEM_v9_1_0	micro_pilot_processing_20260730:v1.0.0	parsimonious_FBA
r_0135	0.0	yeast_GEM_v9_1_0	micro_pilot_processing_20260730:v1.0.0	parsimonious_FBA
r_0137	0.0	yeast_GEM_v9_1_0	micro_pilot_processing_20260730:v1.0.0	parsimonious_FBA
r_0138	0.0	yeast_GEM_v9_1_0	micro_pilot_processing_20260730:v1.0.0	parsimonious_FBA
r_0139	0.0	yeast_GEM_v9_1_0	micro_pilot_processing_20260730:v1.0.0	parsimonious_FBA
r_0140	0.0	yeast_GEM_v9_1_0	micro_pilot_processing_20260730:v1.0.0	parsimonious_FBA
r_0142	0.10793958644171896	yeast_GEM_v9_1_0	micro_pilot_processing_20260730:v1.0.0	parsimonious_FBA
r_0143	0.0	yeast_GEM_v9_1_0	micro_pilot_processing_20260730:v1.0.0	parsimonious_FBA
r_0144	0.10779342254874745	yeast_GEM_v9_1_0	micro_pilot_processing_20260730:v1.0.0	parsimonious_FBA
r_0145	0.0001461638929715048	yeast_GEM_v9_1_0	micro_pilot_processing_20260730:v1.0.0	parsimonious_FBA
r_0146	0.0	yeast_GEM_v9_1_0	micro_pilot_processing_20260730:v1.0.0	parsimonious_FBA
r_0147	0.0	yeast_GEM_v9_1_0	micro_pilot_processing_20260730:v1.0.0	parsimonious_FBA
r_0148	5.494197559114529	yeast_GEM_v9_1_0	micro_pilot_processing_20260730:v1.0.0	parsimonious_FBA
r_0149	0.0	yeast_GEM_v9_1_0	micro_pilot_processing_20260730:v1.0.0	parsimonious_FBA
r_0150	0.0	yeast_GEM_v9_1_0	micro_pilot_processing_20260730:v1.0.0	parsimonious_FBA
r_0151	0.07877699991192917	yeast_GEM_v9_1_0	micro_pilot_processing_20260730:v1.0.0	parsimonious_FBA
r_0152	0.10613953801140834	yeast_GEM_v9_1_0	micro_pilot_processing_20260730:v1.0.0	parsimonious_FBA
r_0153	0.10613953801140835	yeast_GEM_v9_1_0	micro_pilot_processing_20260730:v1.0.0	parsimonious_FBA
r_0154	0.09173643050075535	yeast_GEM_v9_1_0	micro_pilot_processing_20260730:v1.0.0	parsimonious_FBA
r_0155	0.0	yeast_GEM_v9_1_0	micro_pilot_processing_20260730:v1.0.0	parsimonious_FBA
r_0156	0.0	yeast_GEM_v9_1_0	micro_pilot_processing_20260730:v1.0.0	parsimonious_FBA
r_0157	0.26750809498118205	yeast_GEM_v9_1_0	micro_pilot_processing_20260730:v1.0.0	parsimonious_FBA
r_0158	0.0	yeast_GEM_v9_1_0	micro_pilot_processing_20260730:v1.0.0	parsimonious_FBA
r_0159	0.0	yeast_GEM_v9_1_0	micro_pilot_processing_20260730:v1.0.0	parsimonious_FBA
r_0160	0.0	yeast_GEM_v9_1_0	micro_pilot_processing_20260730:v1.0.0	parsimonious_FBA
r_0161	0.0	yeast_GEM_v9_1_0	micro_pilot_processing_20260730:v1.0.0	parsimonious_FBA
r_0162	0.0	yeast_GEM_v9_1_0	micro_pilot_processing_20260730:v1.0.0	parsimonious_FBA
r_0163	0.0	yeast_GEM_v9_1_0	micro_pilot_processing_20260730:v1.0.0	parsimonious_FBA
r_0164	0.0	yeast_GEM_v9_1_0	micro_pilot_processing_20260730:v1.0.0	parsimonious_FBA
r_0165	0.0	yeast_GEM_v9_1_0	micro_pilot_processing_20260730:v1.0.0	parsimonious_FBA
r_0166	0.0	yeast_GEM_v9_1_0	micro_pilot_processing_20260730:v1.0.0	parsimonious_FBA
r_0167	0.0	yeast_GEM_v9_1_0	micro_pilot_processing_20260730:v1.0.0	parsimonious_FBA
r_0168	0.0	yeast_GEM_v9_1_0	micro_pilot_processing_20260730:v1.0.0	parsimonious_FBA
r_0169	0.0	yeast_GEM_v9_1_0	micro_pilot_processing_20260730:v1.0.0	parsimonious_FBA
r_0170	0.0	yeast_GEM_v9_1_0	micro_pilot_processing_20260730:v1.0.0	parsimonious_FBA
r_0171	0.0	yeast_GEM_v9_1_0	micro_pilot_processing_20260730:v1.0.0	parsimonious_FBA
r_0172	0.00014616389297150484	yeast_GEM_v9_1_0	micro_pilot_processing_20260730:v1.0.0	parsimonious_FBA
r_0173	1.0548225181842148	yeast_GEM_v9_1_0	micro_pilot_processing_20260730:v1.0.0	parsimonious_FBA
r_0174	0.0	yeast_GEM_v9_1_0	micro_pilot_processing_20260730:v1.0.0	parsimonious_FBA
r_0175	0.0	yeast_GEM_v9_1_0	micro_pilot_processing_20260730:v1.0.0	parsimonious_FBA
r_0176	0.0	yeast_GEM_v9_1_0	micro_pilot_processing_20260730:v1.0.0	parsimonious_FBA
r_0177	0.0	yeast_GEM_v9_1_0	micro_pilot_processing_20260730:v1.0.0	parsimonious_FBA
r_0178	0.0	yeast_GEM_v9_1_0	micro_pilot_processing_20260730:v1.0.0	parsimonious_FBA
r_0179	0.0	yeast_GEM_v9_1_0	micro_pilot_processing_20260730:v1.0.0	parsimonious_FBA
r_0180	0.0	yeast_GEM_v9_1_0	micro_pilot_processing_20260730:v1.0.0	parsimonious_FBA
r_0181	0.0	yeast_GEM_v9_1_0	micro_pilot_processing_20260730:v1.0.0	parsimonious_FBA
r_0182	0.0	yeast_GEM_v9_1_0	micro_pilot_processing_20260730:v1.0.0	parsimonious_FBA
r_0183	0.0	yeast_GEM_v9_1_0	micro_pilot_processing_20260730:v1.0.0	parsimonious_FBA
r_0184	0.0	yeast_GEM_v9_1_0	micro_pilot_processing_20260730:v1.0.0	parsimonious_FBA
r_0185	0.0	yeast_GEM_v9_1_0	micro_pilot_processing_20260730:v1.0.0	parsimonious_FBA
r_0186	0.0	yeast_GEM_v9_1_0	micro_pilot_processing_20260730:v1.0.0	parsimonious_FBA
r_0187	0.0	yeast_GEM_v9_1_0	micro_pilot_processing_20260730:v1.0.0	parsimonious_FBA
r_0188	0.0	yeast_GEM_v9_1_0	micro_pilot_processing_20260730:v1.0.0	parsimonious_FBA
