reaction_id	pfba_flux	model_id	upstream_baseline	analysis_method
EX_glcn_e	0.0	iML1515	micro_pilot_processing_20260730:v1.0.0	parsimonious_FBA
EX_no3_e	0.0	iML1515	micro_pilot_processing_20260730:v1.0.0	parsimonious_FBA
EX_h_e	9.814240098643259	iML1515	micro_pilot_processing_20260730:v1.0.0	parsimonious_FBA
DMATT	0.00022845982554084614	iML1515	micro_pilot_processing_20260730:v1.0.0	parsimonious_FBA
EX_orn_e	0.0	iML1515	micro_pilot_processing_20260730:v1.0.0	parsimonious_FBA
GRTT	0.00022845982554084614	iML1515	micro_pilot_processing_20260730:v1.0.0	parsimonious_FBA
EX_gln__L_e	0.0	iML1515	micro_pilot_processing_20260730:v1.0.0	parsimonious_FBA
UPP3S	0.0003665218783974796	iML1515	micro_pilot_processing_20260730:v1.0.0	parsimonious_FBA
EX_pro__L_e	0.0	iML1515	micro_pilot_processing_20260730:v1.0.0	parsimonious_FBA
EX_glyc_e	0.0	iML1515	micro_pilot_processing_20260730:v1.0.0	parsimonious_FBA
UPPDC1	0.00018326093919873975	iML1515	micro_pilot_processing_20260730:v1.0.0	parsimonious_FBA
EX_man_e	0.0	iML1515	micro_pilot_processing_20260730:v1.0.0	parsimonious_FBA
TMDPP	0.0	iML1515	micro_pilot_processing_20260730:v1.0.0	parsimonious_FBA
EX_ade_e	0.0	iML1515	micro_pilot_processing_20260730:v1.0.0	parsimonious_FBA
EX_mn2_e	-0.0005678623721360053	iML1515	micro_pilot_processing_20260730:v1.0.0	parsimonious_FBA
EX_4abut_e	0.0	iML1515	micro_pilot_processing_20260730:v1.0.0	parsimonious_FBA
EX_ac_e	2.256816188766358	iML1515	micro_pilot_processing_20260730:v1.0.0	parsimonious_FBA
EX_akg_e	0.0	iML1515	micro_pilot_processing_20260730:v1.0.0	parsimonious_FBA
EX_ala__L_e	0.0	iML1515	micro_pilot_processing_20260730:v1.0.0	parsimonious_FBA
EX_arg__L_e	0.0	iML1515	micro_pilot_processing_20260730:v1.0.0	parsimonious_FBA
EX_asp__L_e	0.0	iML1515	micro_pilot_processing_20260730:v1.0.0	parsimonious_FBA
EX_pyr_e	0.0	iML1515	micro_pilot_processing_20260730:v1.0.0	parsimonious_FBA
EX_succ_e	0.0	iML1515	micro_pilot_processing_20260730:v1.0.0	parsimonious_FBA
EX_thymd_e	0.0	iML1515	micro_pilot_processing_20260730:v1.0.0	parsimonious_FBA
EX_rib__D_e	0.0	iML1515	micro_pilot_processing_20260730:v1.0.0	parsimonious_FBA
EX_tyr__L_e	0.0	iML1515	micro_pilot_processing_20260730:v1.0.0	parsimonious_FBA
EX_cytd_e	0.0	iML1515	micro_pilot_processing_20260730:v1.0.0	parsimonious_FBA
EX_dcyt_e	0.0	iML1515	micro_pilot_processing_20260730:v1.0.0	parsimonious_FBA
MOAT	0.015988900596639825	iML1515	micro_pilot_processing_20260730:v1.0.0	parsimonious_FBA
EX_fum_e	0.0	iML1515	micro_pilot_processing_20260730:v1.0.0	parsimonious_FBA
EX_sbt__D_e	0.0	iML1515	micro_pilot_processing_20260730:v1.0.0	parsimonious_FBA
